<built-in function id>	nl	mr	repair_head_nl	repair_head_sbn	repair_head_smatch	repair_mid_nl	repair_mid_sbn	repair_mid_smatch	repair_tail_nl	repair_tail_sbn	repair_tail_smatch	repair_interrug_nl	repair_interrug_sbn	repair_interrug_smatch
p50/d3437	This cottage reminds me of the one I was born in. 	cottage.n.01 remind.v.01 Stimulus -1 Time +1 Experiencer +2 Theme +3 time.n.08 EQU now person.n.01 EQU speaker cottage.n.01 person.n.01 EQU speaker time.n.08 TPR now bear.v.02 Location -3 Patient -2 Time -1												
p74/d0954	The population of China is 8 times that of Japan. 	"population.n.01 PartOf +1 country.n.02 Name ""China"" be.v.06 Theme -2 Time +1 Co-Theme +3 time.n.08 EQU now number.n.02 EQU 8 times.n.02 Theme -1 Co-Theme +1 population.n.01 PartOf +1 country.n.02 Name ""Japan"""												
p38/d1684	She combed her hair and bound it with a ribbon. 	female.n.02 comb.v.01 Agent -1 Time +1 Patient +3 time.n.08 TPR now female.n.02 ANA -3 hair.n.01 PartOf -1 bind.v.04 Agent -5 Time +1 Theme +2 Instrument +3 time.n.08 TPR now entity.n.01 ANA -3 ribbon.n.04												
p01/d2580	I've been dreaming of this trip for a long time. 	person.n.01 EQU speaker time.n.08 TPR now dream.v.01 Experiencer -2 Time -1 Stimulus +1 Duration +3 trip.n.01 long.a.01 Value + time.n.03 Attribute -1												
p67/d1414	The party was composed of six girls and four boys. 	party.n.02 time.n.08 TPR now compose.v.01 Theme -2 Time -1 Attribute +3 quantity.n.01 EQU 6 girl.n.02 Quantity -1 entity.n.01 Sub -1 Sub +2 quantity.n.01 EQU 4 boy.n.01 Quantity -1												
p25/d2856	What kind of music will you guys be playing? 	entity.n.01 InstanceOf +1 EQU ? music.n.01 time.n.08 TSU now person.n.01 EQU hearer guy.n.01 SubOf -1 time.n.08 EQU now play.v.07 Time -4 Theme -6 Agent -2 Time -1												
p20/d1737	I moved to England from Germany when I was nine. 	"person.n.01 EQU speaker move.v.01 Theme -1 Time +1 Destination +2 Source +3 time.n.08 TPR now country.n.02 Name ""England"" country.n.02 Name ""Germany"" person.n.01 EQU speaker time.n.08 TPR now old.a.01 AttributeOf -2 TIN -6 Time -1 Value +1 measure.n.02 Quantity 9 Unit +1 year.n.01"												
p40/d3044	I have to put a stamp on the envelope. 	person.n.01 EQU speaker NECESSITY <1 put.v.01 Agent -1 Theme +1 Destination +2 stamp.n.04 envelope.n.01												
p06/d1881	Tom loaded the bags into the trunk of his car. 	"male.n.02 Name ""Tom"" load.v.04 Agent -1 Time +1 Theme +2 Destination +3 time.n.08 TPR now bag.n.01 trunk.n.04 PartOf +2 male.n.02 ANA -5 car.n.01 User -1"												
p87/d2746	He is now either in Rome or in Paris. 	"male.n.02 be.v.03 Theme -1 Time +1 Location +2 time.n.08 EQU now city.n.01 NEGATION <1 NEGATION <1 city.n.01 Name ""Rome"" EQU -1 NEGATION <2 city.n.01 Name ""Paris"" EQU -2"												
p13/d0050	The woman is not stirring meat in a bowl 	woman.n.01 NEGATION <1 time.n.08 EQU now stir.v.08 Agent -2 Time -1 Theme +1 meat.n.01 Location +1 bowl.n.01												
p75/d3280	I've managed to persuade Tom to donate some money. 	"person.n.01 EQU speaker manage.v.01 Agent -1 Time +1 Theme +2 time.n.08 TPR now persuade.v.02 Agent -3 Patient +1 Result +2 male.n.02 Name ""Tom"" donate.v.01 Agent -1 Theme +1 money.n.01"												
p65/d2076	The Milky Way consists of about a hundred billion stars. 	milky_way.n.01 consist.v.04 Theme -1 Time +1 Attribute +3 time.n.08 EQU now quantity.n.01 APX 100000000000 star.n.01 Quantity -1												
p70/d2543	Polish nails are more expensive than the Chinese ones. 	"country.n.02 Name ""poland"" nail.n.02 Source -1 time.n.08 EQU now more.r.01 Theme -2 Co-Theme +3 expensive.a.01 AttributeOf -3 Time -2 Degree -1 country.n.02 Name ""china"" nail.n.02 Source -1"												
p69/d2947	The exchange rate of the dollar versus the euro has declined. 	exchange_rate.n.01 Theme +1 Co-Theme +2 dollar.n.01 euro.n.01 decline.v.06 Patient -3 Time +1 time.n.08 TPR now												
p13/d0047	The men are putting suitcases into the trunk of a car 	man.n.01 time.n.08 EQU now put.v.01 Agent -2 Time -1 Theme +1 Destination +2 suitcase.n.01 trunk.n.04 PartOf +1 car.n.01												
p78/d0807	"""How old is she?"" ""She is twelve years old."" "	old.a.01 Value ? Time +1 AttributeOf +2 time.n.08 EQU now female.n.02 CONTINUATION <1 female.n.02 ANA -1 time.n.08 EQU now quantity.n.01 EQU 12 year.n.01 Quantity -1 old.a.01 Theme -4 Time -3 Value -1												
p11/d2216	The flight to Boston should take about ninety minutes. 	"flight.n.02 Destination +1 city.n.01 Name ""Boston"" NECESSITY <1 take.v.02 Theme -2 Value +2 quantity.n.01 APX 90 minute.n.01 Quantity -1"												
p60/d3412	Tom can borrow my car for a few days. 	"male.n.02 Name ""Tom"" POSSIBILITY <1 borrow.v.01 Agent -1 Theme +2 Duration +3 person.n.01 EQU speaker car.n.01 User -1 day.n.01 Quantity -"												
p12/d2786	Besides being a great statesman, Sir Winston Churchill was a great writer. 	"be.v.08 Co-Theme +2 Theme +5 great.a.02 AttributeOf +1 person.n.01 Role +1 statesman.n.01 sir.n.02 male.n.02 Name ""Winston Churchill"" Title -1 be.v.08 Theme -1 Time +1 Co-Theme +3 time.n.08 TPR now great.a.02 AttributeOf +1 person.n.01 Role +1 writer.n.01"												
p32/d1658	Subway fares will be raised as of April 1st, 1999. 	subway_fare.n.01 time.n.08 TSU now raise.v.01 Patient -2 Time -1 Start +2 time.n.08 MonthOfYear 4 EQU +1 time.n.08 DayOfMonth 1 EQU +1 time.n.08 YearOfCentury 1999												
p32/d2576	The temperature of the oil climbed to 165 degrees Celsius. 	temperature.n.01 AttributeOf +1 oil.n.01 climb.v.06 Patient -2 Time +1 Goal +3 time.n.08 TPR now quantity.n.01 EQU 165 degree_celsius.n.01 Quantity -1												
p04/d2305	Jose is one of the suspects of murdering a cab driver in Rio de Janeiro. 	"male.n.02 Name ""Jose"" be.v.02 Theme -1 Time +1 Co-Theme +2 time.n.08 EQU now person.n.01 SubOf +1 person.n.01 Role +1 suspect.n.01 Of +2 entity.n.01 murder.v.01 Agent -1 Patient +1 Location +3 person.n.01 Role +1 cabdriver.n.01 city.n.01 Name ""Rio de Janeiro"""												
p24/d1111	I recognized some of the little singers; they were girls from the village. 	person.n.01 EQU speaker recognize.v.04 Experiencer -1 Time +1 Stimulus +2 time.n.08 TPR now person.n.01 SubOf +2 little.a.03 AttributeOf +1 person.n.01 Role +1 singer.n.01 CONTINUATION <1 person.n.01 EQU -4 be.v.01 Theme -1 Time +1 Co-Theme +2 time.n.08 TPR now girl.n.01 Source +1 village.n.02												
p89/d2065	My brother takes a new book out of the library every day. 	NEGATION <1 NEGATION <1 person.n.01 EQU speaker person.n.01 Role +1 brother.n.01 Of -2 take.v.07 Agent -2 Time +1 Theme +3 Source +4 Time +5 time.n.08 EQU now new.a.05 AttributeOf +1 book.n.02 library.n.02 CONJUNCTION <2 day.n.01												
p91/d1268	The law was also criticized be the trade unions. 	law.n.01 time.n.08 TPR now criticize.v.01 Theme -2 Time -1 Agent +1 trade_union.n.01												
p69/d3332	A group of foreigners arrived in Edo, in other words Tokyo. 	"group.n.01 Part +1 person.n.01 Role +1 foreigner.n.01 arrive.v.01 Theme -3 Time +1 Destination +2 time.n.08 TPR now city.n.01 Name ""Edo"" city.n.01 Name ""Tokyo"" EQU -1"												
p01/d2282	Tom still loves Mary even though she doesn't love him anymore. 	"male.n.02 Name ""Tom"" love.v.03 Experiencer -1 Time +1 Stimulus +2 time.n.08 EQU now female.n.02 Name ""Mary"" CONTRAST <1 female.n.02 ANA -1 NEGATION <1 time.n.08 EQU now love.v.03 Experiencer -2 Time -1 Stimulus +1 male.n.02 ANA -7"												
p45/d2766	I am getting fat because I eat a lot of sweets. 	person.n.01 EQU speaker time.n.08 EQU now get.v.02 Patient -2 Time -1 Result +1 fat.a.01 AttributeOf -3 EXPLANATION <1 person.n.01 EQU speaker eat.v.01 Agent -1 Time +1 Patient +2 time.n.08 EQU now entity.n.01 Quantity + EQU +1 sweet.n.03												
p31/d0757	More than 1,500 people died when the Titanic sank in 1912.	"quantity.n.01 MOR +1 quantity.n.01 EQU 1500 person.n.01 Quantity -2 die.v.01 Patient -1 Time +1 time.n.08 TPR now vehicle.n.01 Name ""Titanic"" sink.v.04 Patient -1 TIN -3 Time +1 Time +2 time.n.08 TPR now time.n.08 YearOfCentury 1912"												
p40/d2942	There's a famous book in English whose entire last chapter is a single sentence. 	entity.n.01 be.v.04 EQU -1 Time +1 Theme +3 time.n.08 EQU now famous.a.01 AttributeOf +1 book.n.01 Context +1 english.n.01 entire.a.01 AttributeOf +2 last.a.02 AttributeOf +1 chapter.n.01 PartOf -4 be.v.01 Theme -1 Time +1 Co-Theme +3 time.n.08 EQU now single.a.03 AttributeOf +1 sentence.n.01												
p32/d3405	Lupita Nyong'o's dress was stolen in her hotel room. 	"female.n.02 Name ""Lupita Nyong'o"" dress.n.01 User -1 time.n.08 TPR now steal.v.01 Theme -2 Time -1 Source +2 female.n.02 ANA -4 hotel_room.n.01 User -1"												
p00/d3038	There are over 800,000 Basque speakers in the world. 	entity.n.01 be.v.03 Time +1 EQU -1 Theme +5 Location +7 time.n.08 EQU now quantity.n.01 MOR +1 quantity.n.01 EQU 800000 basque.n.02 person.n.01 Quantity -3 Role +1 speaker.n.01 Theme -2 world.n.04												
p25/d3277	Osiris, Anubis, and Horus are some of the most famous ancient Egyptian deities. 	"god.n.01 Name ""Osiris"" god.n.01 Name ""Anubis"" entity.n.01 Sub -2 Sub -1 Sub +1 god.n.01 Name ""Horus"" be.v.02 Theme -2 Time +1 Co-Theme +2 time.n.08 EQU now entity.n.01 SubOf +5 most.r.01 famous.a.01 Degree -1 AttributeOf +3 ancient.a.01 AttributeOf +2 country.n.02 Name ""egypt"" deity.n.01 Source -1"												
p07/d2499	Tom carved a pipe for Mary, but she doesn't smoke. 	"male.n.02 Name ""Tom"" carve.v.01 Agent -1 Time +1 Product +2 time.n.08 TPR now pipe.n.01 Beneficiary +1 female.n.02 Name ""Mary"" CONTRAST <1 female.n.02 ANA -1 NEGATION <1 time.n.08 EQU now smoke.v.01 Agent -2 Time -1"												
p72/d2539	There is a pond in the middle of the park. 	entity.n.01 be.v.03 Time +1 EQU -1 Theme +2 Location +3 time.n.08 EQU now pond.n.01 middle.n.01 PartOf +1 park.n.02												
p80/d1560	There are almost seven billion people in the world. 	entity.n.01 be.v.03 Time +1 EQU -1 Theme +4 Location +5 time.n.08 EQU now quantity.n.01 LES +1 quantity.n.01 EQU 7000000000 person.n.01 Quantity -2 world.n.04												
p70/d2952	There's a volcano emitting masses of smoke in Iceland. 	"entity.n.01 time.n.08 EQU now volcano.n.01 emit.v.01 Time -2 Source -1 EQU -3 Theme +2 Location +4 mass.n.02 entity.n.01 Sub -1 Sub +1 smoke.n.01 country.n.02 Name ""Iceland"""												
p71/d2539	I heard that footprints of an abominable snowman have been discovered in the Himalayas. 	"person.n.01 EQU speaker hear.v.02 Proposition >1 Experiencer -1 Time +1 time.n.08 TPR now CONTINUATION <0 footprint.n.01 Creator +2 abominable.a.02 AttributeOf +1 snowman.n.01 time.n.08 TPR now discover.v.01 Theme -4 Time -1 Location +1 range.n.04 Name ""Himalayas"""												
p56/d1404	We tried to put out the fire but we were unsuccessful. We had to call the fire brigade. 	person.n.01 Sub speaker try.v.01 Agent -1 Time +1 Theme +2 time.n.08 TPR now put_out.v.03 Agent -3 Patient +1 fire.n.01 CONTRAST <1 person.n.01 Sub speaker time.n.08 TPR now unsuccessful.a.01 AttributeOf -2 Time -1 CONTINUATION <1 person.n.01 Sub speaker NECESSITY <1 call.v.03 Agent -1 Theme +1 fire_brigade.n.01												
p30/d3513	I do some work for Tom from time to time. 	"person.n.01 EQU speaker do.v.02 Agent -1 Time +1 Theme +2 Beneficiary +3 Manner +4 time.n.08 EQU now work.n.03 male.n.02 Name ""Tom"" from_time_to_time.r.01"												
p26/d3136	A tall man intruded into my apartment with a gun. 	tall.a.01 Value + man.n.01 Attribute -1 intrude.v.02 Theme -1 Time +1 Destination +3 Instrument +4 time.n.08 TPR now person.n.01 EQU speaker apartment.n.01 User -1 gun.n.01												
p00/d2468	Tom has bought a house which has six rooms. 	"male.n.02 Name ""Tom"" buy.v.01 Agent -1 Time +1 Theme +2 time.n.08 TPR now house.n.01 have.v.02 Pivot -1 Time +1 Theme +3 time.n.08 EQU now quantity.n.01 EQU 6 room.n.01 Quantity -1"												
p34/d0764	The movie 'Speed' was directed by Jan De Bont.	"movie.n.01 Name ""Speed"" movie.n.01 EQU -1 time.n.08 TPR now direct.v.03 Theme -2 Time -1 Agent +1 male.n.02 Name ""Jan De Bont"""												
p92/d2922	The picture on the wall was painted by Picasso. 	"picture.n.02 Location +1 wall.n.01 time.n.08 TPR now paint.v.01 Result -3 Time -1 Agent +1 male.n.02 Name ""Picasso"""												
p44/d0911	Some of the books that he has are English novels. 	entity.n.01 SubOf +1 book.n.02 male.n.02 have.v.04 Theme -2 Pivot -1 Time +1 time.n.08 EQU now be.v.01 Theme -5 Time +1 Co-Theme +3 time.n.08 EQU now english.n.01 novel.n.02 Context -1												
p71/d3136	Tony carved his name on a tree with a knife. 	"male.n.02 Name ""Tony"" carve.v.02 Agent -1 Time +1 Theme +3 Destination +4 Instrument +5 time.n.08 TPR now male.n.02 ANA -3 name.n.01 Bearer -1 tree.n.01 knife.n.01"												
p05/d3380	A group of foreigners arrived in Edo, that is to say Tokyo. 	"group.n.01 Part +1 person.n.01 Role +1 foreigner.n.01 arrive.v.01 Theme -3 Time +1 Location +2 time.n.08 TPR now city.n.01 Name ""Edo"" EQU +1 city.n.01 Name ""Tokyo"""												
p44/d0783	Maria knew neither his name nor his phone number. 	"female.n.02 Name ""Maria"" NEGATION <1 know.v.01 Experiencer -1 Time +1 Stimulus +3 time.n.08 TPR now male.n.02 name.n.01 Bearer -1 NEGATION <2 know.v.01 Experiencer -5 Time +1 Stimulus +3 time.n.08 TPR now male.n.02 phone_number.n.01 User -1"												
p26/d2230	It took me half an hour to work out this problem. 	time.n.08 TPR now person.n.01 EQU speaker quantity.n.01 EQU 0.5 hour.n.01 Quantity -1 work_out.v.07 Time -4 Agent -3 Duration -1 Theme +1 problem.n.02												
p90/d1195	Another focal point is the avoidance of industrial accidents. 	focal_point.n.03 NEQ +1 focal_point.n.03 be.v.02 Theme -1 Time +1 Co-Theme +2 time.n.08 EQU now avoidance.n.01 Theme +2 industrial.a.01 AttributeOf +1 accident.n.01												
p60/d0099	My grandmother is already more than ninety years old. 	person.n.01 EQU speaker person.n.01 Role +1 grandmother.n.01 Of -2 time.n.08 EQU now quantity.n.01 MOR +1 quantity.n.01 EQU 90 year.n.01 Quantity -2 old.a.01 AttributeOf -6 Time -4 Value -1												
p20/d3555	The teacher enjoyed talking with some of the graduates. 	person.n.01 Role +1 teacher.n.01 enjoy.v.01 Experiencer -2 Time +1 Stimulus +2 time.n.08 TPR now talk.v.01 Agent -4 Co-Agent +1 person.n.01 SubOf +1 person.n.01 Role +1 graduate.n.01												
p11/d1542	According to a survey, 1 billion people are suffering from poverty in the world. 	according.a.02 Proposition >1 Source +1 survey.n.01 CONTINUATION <0 quantity.n.01 EQU 1000000000 person.n.01 Quantity -1 time.n.08 EQU now suffer.v.01 Experiencer -2 Time -1 Stimulus +1 poverty.n.01 Location +1 world.n.01												
p94/d1200	The planned joint venture will have a total capacity of 1.4 million metric tons. 	planned.a.01 AttributeOf +1 joint_venture.n.01 time.n.08 TSU now have.v.02 Pivot -2 Time -1 Theme +2 total.a.01 AttributeOf +1 capacity.n.01 Value +2 quantity.n.01 EQU 1400000 metric_ton.n.01 Quantity -1												
p39/d0252	Keeton put magnets on the heads of his pigeons. 	"male.n.02 Name ""Keeton"" put.v.01 Agent -1 Time +1 Theme +2 Destination +3 time.n.08 TPR now magnet.n.01 head.n.01 PartOf +2 male.n.02 ANA -5 pigeon.n.01 Owner -1"												
p93/d0757	Some passengers were escorted off the ship in wheelchairs by crew wearing blue gloves.	person.n.01 Role +1 passenger.n.01 time.n.08 TPR now escort.v.01 Theme -3 Time -1 Source +1 Instrument +2 Agent +3 ship.n.01 wheelchair.n.01 person.n.01 Role +1 crew.n.01 wear.v.02 Agent -2 Theme +2 blue.a.01 glove.n.02 Colour -1												
p88/d0778	It is easy for a monkey to climb a tree. 	entity.n.01 time.n.08 EQU now easy.a.01 EQU -2 Time -1 Stimulus +2 monkey.n.01 climb.v.01 Agent -1 Theme +1 tree.n.01												
p95/d2654	No river in Japan is as long as the Shinano. 	"NEGATION <1 river.n.01 Location +1 country.n.02 Name ""Japan"" time.n.08 EQU now as.r.01 Theme -3 Co-Theme +2 long.a.02 AttributeOf -4 Time -2 Degree -1 river.n.01 Name ""Shinano"""												
p33/d2982	The square root of one hundred forty-four is twelve. 	square_root.n.01 Of +1 number.n.02 EQU 144 be.v.05 Theme -2 Co-Theme +1 number.n.02 EQU 12												
p73/d1428	Tom put his shoes on with his shoe horn. 	"male.n.02 Name ""Tom"" put_on.v.01 Agent -1 Time +1 Theme +3 Instrument +5 time.n.08 TPR now male.n.02 ANA -3 shoe.n.01 User -1 male.n.02 ANA -5 shoehorn.n.01 User -1"												
p14/d2233	Tom grabbed some paper towels and wiped his hands. 	"male.n.02 Name ""Tom"" grab.v.02 Agent -1 Time +1 Theme +2 time.n.08 TPR now paper_towel.n.01 wipe.v.01 Agent -4 Time +1 Source +3 time.n.08 TPR now male.n.02 ANA -6 hand.n.01 PartOf -1"												
p44/d3239	Tom is hoping that he can hitch a ride to Boston. 	"male.n.02 Name ""Tom"" time.n.08 EQU now hope.v.01 Time -1 Proposition >1 Agent -2 CONTINUATION <0 male.n.02 ANA -3 POSSIBILITY <1 hitch.v.04 Agent -1 Theme +1 ride.n.01 Destination +1 city.n.01 Name ""Boston"""												
p86/d1883	Tom died three days after he arrived in Boston. 	"male.n.02 Name ""Tom"" die.v.01 Patient -1 Time +1 TAB +3 time.n.08 TPR now quantity.n.01 EQU 3 day.n.01 Quantity -1 EQU +1 entity.n.01 TAB +2 male.n.02 ANA -6 arrive.v.01 Theme -1 Time +1 Destination +2 time.n.08 TPR now city.n.01 Name ""Boston"""												
p51/d0076	Frank Lampard passed the ball to Beckham. Beckham kicked the ball and scored! 	"male.n.02 Name ""Frank Lampard"" pass.v.20 Agent -1 Time +1 Theme +2 Destination +3 time.n.08 TPR now ball.n.01 male.n.02 Name ""Beckham"" CONTINUATION <1 male.n.02 Name ""Beckham"" kick.v.03 Agent -1 Time +1 Theme +2 time.n.08 TPR now ball.n.01 score.v.01 Agent -4 Time +1 time.n.08 TPR now"												
p25/d2371	Tom has been living in Boston for many years. 	"male.n.02 Name ""Tom"" time.n.08 TPR now live.v.01 Theme -2 Time -1 Location +1 Duration +2 city.n.01 Name ""Boston"" year.n.01 Quantity +"												
p38/d2048	I got caught in a traffic jam on the expressway. 	person.n.01 EQU speaker time.n.08 TPR now catch.v.29 Patient -2 Time -1 Causer +1 Location +2 traffic_jam.n.01 expressway.n.01												
p72/d1530	The crowd whistled and applauded at President Obama's speech. 	"crowd.n.01 whistle.v.01 Agent -1 Time +1 time.n.08 TPR now applaud.v.01 Agent -3 Time +1 Theme +4 time.n.08 TPR now president.n.03 male.n.02 Name ""Obama"" Title -1 speech.n.01 Creator -1"												
p44/d2776	Markku was head over heels in love with Liisa. 	"male.n.02 Name ""Markku"" time.n.08 TPR now head_over_heels.r.01 in_love.a.01 Experiencer -3 Time -2 Manner -1 Stimulus +1 female.n.02 Name ""Liisa"""												
p92/d2931	We didn't like to add this kind of jokes to our website. 	person.n.01 Sub speaker NEGATION <1 time.n.08 TPR now like.v.01 Experiencer -2 Time -1 Stimulus +1 add.v.01 Agent -3 Theme +1 Destination +4 entity.n.01 InstanceOf +1 joke.n.01 person.n.01 Sub speaker website.n.01 Creator -1												
p65/d2845	Tom began to suspect that Mary was cheating on him. 	"male.n.02 Name ""Tom"" begin.v.01 Time +1 PartOf +2 time.n.08 TPR now suspect.v.01 Proposition >1 Agent -3 CONTINUATION <0 female.n.02 Name ""Mary"" time.n.08 TPR now cheat.v.04 Agent -2 Time -1 Patient +1 male.n.02 ANA -7"												
p61/d3277	The court is adjourned until 3:00 p.m. on March 1st. 	court.n.01 time.n.08 EQU now adjourn.v.01 Theme -2 Time -1 Finish +1 time.n.08 ClockTime 15:00 time.n.08 MonthOfYear 3 EQU +1 time.n.08 DayOfMonth 1 EQU -2												
p76/d2697	The Lady of the Lake bewitched Merlin and trapped him in the trunk of a tree. 	"female.n.02 Name ""Lady of the Lake"" bewitch.v.03 Agent -1 Time +1 Patient +2 time.n.08 TPR now male.n.02 Name ""Merlin"" trap.v.04 Agent -4 Theme +1 Destination +2 male.n.02 ANA -2 trunk.n.01 PartOf +1 tree.n.01"												
